"Index","Quantity","Part Number","Manufacturer Part Number","Description","Unit of Measure","Customer Reference","Available","Backorder","Unit Price","Extended Price CAD"
"1","2","317-1258-ND","MF52A2103J3470","THERMISTOR NTC 10KOHM 3470K BEAD","","","2","0","0.49000","$0.98"
"2","5","1727-1144-1-ND","BSS84AK,215","MOSFET P-CH 50V 180MA TO236AB","","","5","0","0.27000","$1.35"
"3","5","609-5379-1-ND","10118192-0002LF","CONN RCPT USB2.0 MICRO B SMD R/A","","","5","0","0.64000","$3.20"
"4","10","455-3239-ND","ASXHSXH22K51","JUMPER SXH-001T-P0.6 X2 2""","","","10","0","0.95500","$9.55"
"5","5","2138-JE2835AHR-N-0001A0000-N0000001CT-ND","JE2835AHR-N-0001A0000-N0000001","JE2835 3V N CLASS PHOTO RED","","","5","0","0.56000","$2.80"
"6","1","505-LTC6990CS6#TRPBFCT-ND","LTC6990CS6#TRPBF","IC OSC SILICON 2MHZ SOT-23-6","","","1","0","9.96000","$9.96"
"7","5","553-3287-1-ND","PA4332.102NLT","FIXED IND 1UH 5.8A 26 MOHM SMD","","","5","0","0.79000","$3.95"
"8","5","PAM2804AAB010DICT-ND","PAM2804AAB010","IC LED DRIVER RGLTR 1A TSOT25","","","5","0","0.89000","$4.45"
"9","10","587-2909-1-ND","TMK107ABJ225KA-T","CAP CER 2.2UF 25V X5R 0603","","","10","0","0.12400","$1.24"
"10","20","455-B2B-XH-A-ND","B2B-XH-A","CONN HEADER VERT 2POS 2.5MM","","","20","0","0.12900","$2.58"
"11","5","296-37142-1-ND","BQ24040DSQR","IC BATT CHG LI-ION 1CELL 10SON","","","5","0","1.59000","$7.95"
"12","1","315-NC191SNL50-ND","NC191SNL50","SMOOTH FLOW LEAD-FREE SOLDER PAS","","","1","0","25.45000","$25.45"
"13","1","315-SOLDERWICK2.0-ND","SOLDERWICK2.0","2.0MM SOLDER WICK NO CLEAN","","","1","0","3.96000","$3.96"
"14","1","315-NC2SWLF.0310.5OZ-ND","NC2SWLF.031 0.5OZ","LF SOLDER WIRE MINI POCKET PACK","","","1","0","4.23000","$4.23"
"15","1","CP-002A-ND","PJ-002A","CONN PWR JACK 2X5.5MM SOLDER","","","1","0","0.92000","$0.92"
"16","10","553-3001-1-ND","PA4342.472NLT","FIXED IND 4.7UH 10A 15.5 MOHM","","","10","0","1.42000","$14.20"
"17","20","490-3896-1-ND","GRM188R60J106ME47D","CAP CER 10UF 6.3V X5R 0603","","","0","20","0.09400","$1.88"
"18","5","SIT1534AC-J5-DCC-00.001ECT-ND","SIT1534AC-J5-DCC-00.001E","MEMS OSC XO 1.0000HZ LVCMOS SMD","","","5","0","2.73000","$13.65"
"19","20","1276-CL05B104KP5VPNCCT-ND","CL05B104KP5VPNC","CAP CER 100NF 10V X7R 0402","","","20","0","0.05700","$1.14"

